Experiment,Model,Loss Function,Task,Train Data,Test Data,Average minority cross-validated F2 (2015-2018),Standard deviation minority cross-validated F2 (2015-2018),Holdout minority F2 (2019),Train/test difference
E20,"LSTM (torch, MDS streaming)","Focal loss (per-class gamma, alpha from stream priors)",Binary,2015 to 2018 (expanding CV),2019,0.5175,0.03,0.5269,0.0094
E22,MLP 1 layer,Cross entropy loss,Binary,2015 to 2018 (expanding CV),2019,0.5742,0.02,0.5841,0.0099
E23,MLP 2 layers,Cross entropy loss,Binary,2015 to 2018 (expanding CV),2019,0.5741,0.02,0.5817,0.0076
E24,Logistic Regression,Cross entropy loss (F2 Threshold 0.4),Binary,2016 to 2018 (expanding CV),2019,0.6332,0.009,0.527,-0.1062
E25,XGBoost,Cross entropy loss (F2 Threshold 0.4),Binary,2017 to 2018 (expanding CV),2019,0.6126,0.008,0.6166,0.004
